Time,Orientation Speed In Current Wobj,Speed In Current Wobj,Maximum Linear Acceleration In World,Orientation\Q1 In Current Wobj,Orientation\Q2 In Current Wobj,Orientation\Q3 In Current Wobj,Orientation\Q4 In Current Wobj,Position\X Position In Current Wobj,Position\Y Position In Current Wobj,Position\Z Position In Current Wobj
53.513,162.005612093369,266.794145107269,6432.46126174927,0.677907466888428,-0.0811143964529037,-0.696778476238251,0.219913005828857,360.861748456955,884.198844432831,-1631.1491727829
53.537,163.810790109869,263.98777961731,6432.46126174927,0.696341156959534,-0.0575434528291225,-0.684621930122375,0.20758256316185,363.958269357681,878.783702850342,-1632.46703147888
53.561,165.725906851249,264.069348573685,6432.46126174927,0.71353417634964,-0.0326038338243961,-0.672043144702911,0.195356115698814,366.356730461121,872.890174388885,-1632.74455070496
53.586,169.451665760464,285.180121660233,8149.73735809326,0.72921484708786,-0.00584237277507782,-0.659241497516632,0.183336406946182,367.573350667953,866.345167160034,-1631.34515285492
53.61,172.55692930434,364.991575479507,8149.73735809326,0.742796242237091,0.0239050053060055,-0.646626353263855,0.17192031443119,366.736769676208,858.699083328247,-1627.03788280487
53.634,139.167003131599,402.565032243729,8149.73735809326,0.751057088375092,0.0494089089334011,-0.63762903213501,0.164015784859657,363.926410675049,851.785659790039,-1620.71084976196
53.658,99.9769827685209,382.783740758896,8149.73735809326,0.7549968957901,0.0687778368592262,-0.63229888677597,0.159522414207458,360.362887382507,846.251904964447,-1614.09413814545
53.682,83.5968777425096,400.460332632065,8149.73735809326,0.756485223770142,0.0856511294841766,-0.629051029682159,0.157126516103745,356.253802776337,841.149151325226,-1607.00929164886
53.706,72.9185531639225,408.164292573929,8149.73735809326,0.756186544895172,0.100842274725437,-0.627348244190216,0.156355008482933,351.787090301514,836.302995681763,-1599.61473941803
53.731,70.5391406533327,407.446473836899,8149.73735809326,0.755438387393951,0.115577459335327,-0.625829219818115,0.155860483646393,347.301542758942,831.545889377594,-1592.23890304565
53.755,69.6748963270835,408.032685518265,8149.73735809326,0.754303634166718,0.130176275968552,-0.624473869800568,0.155282258987427,342.814981937408,826.774835586548,-1584.8582983017
53.779,64.9393144396494,397.865056991577,8149.73735809326,0.751332521438599,0.143422484397888,-0.625409603118896,0.154247373342514,338.478475809097,822.032272815704,-1577.68654823303
53.803,67.4101490322798,408.436328172684,8149.73735809326,0.745961427688599,0.155799865722656,-0.6293004155159,0.152475893497467,334.092706441879,817.017138004303,-1570.37127017975
53.827,71.9146246389574,401.27357840538,8149.73735809326,0.738385498523712,0.166748508810997,-0.63600754737854,0.149920582771301,329.873889684677,811.926424503326,-1563.2609128952
53.852,81.0084955942633,395.387351512909,8149.73735809326,0.728556454181671,0.176262184977531,-0.645506918430328,0.146485358476639,325.845688581467,806.735217571259,-1556.37621879578
53.876,98.6389487101154,404.565274715424,6018.3253288269,0.715575635433197,0.184588551521301,-0.658606708049774,0.141830056905746,321.839541196823,801.161408424377,-1549.41558837891
53.9,93.5605801188058,327.893972396851,6018.3253288269,0.70234203338623,0.190258577466011,-0.672119677066803,0.137012630701065,318.634629249573,796.341001987457,-1543.74587535858
53.924,94.990883202709,293.253809213638,6018.3253288269,0.689092516899109,0.194272845983505,-0.685526251792908,0.132148653268814,315.945416688919,792.03474521637,-1538.91432285309
53.948,105.893572665342,288.792163133621,6018.3253288269,0.673888444900513,0.197271347045898,-0.700666129589081,0.12659116089344,313.353985548019,787.61088848114,-1534.18040275574
53.973,118.124023581869,289.205729961395,6018.3253288269,0.656585276126862,0.199250057339668,-0.717435956001282,0.120336286723614,310.834527015686,783.060371875763,-1529.50799465179
53.997,130.829036041928,289.288580417633,6018.3253288269,0.637040853500366,0.200131922960281,-0.735707104206085,0.11340744048357,308.382034301758,778.40131521225,-1524.89602565765
54.021,144.317607803571,288.872867822647,6018.3253288269,0.615012109279633,0.19977742433548,-0.755413770675659,0.105826154351234,306.001126766205,773.652851581573,-1520.35319805145
54.045,153.269964069463,289.602875709534,6018.3253288269,0.590961039066315,0.198365896940231,-0.775784969329834,0.0978450626134872,303.687959909439,768.820524215698,-1515.84506034851
54.069,150.437744167847,289.622217416763,6018.3253288269,0.566861808300018,0.196545422077179,-0.794922888278961,0.0901953727006912,301.659345626831,763.81641626358,-1511.38138771057
54.094,144.688418773611,282.344877719879,6018.3253288269,0.543036580085754,0.194305792450905,-0.812685370445251,0.0830602720379829,300.23393034935,758.633553981781,-1507.12895393372
54.118,127.390404625041,246.241420507431,6018.3253288269,0.521696329116821,0.191675215959549,-0.827722668647766,0.077257364988327,300.182491540909,753.722488880157,-1503.81171703339
54.142,86.41622273754,186.418205499649,6018.3253288269,0.506897389888763,0.189077004790306,-0.837756156921387,0.0739565342664719,302.032887935638,750.033855438232,-1502.35545635223
54.166,45.6702033192628,177.462801337242,5544.07405853271,0.499573886394501,0.186861738562584,-0.842704713344574,0.0731940716505051,305.427700281143,747.875094413757,-1502.77066230774
54.19,26.7195309859079,337.437570095062,5544.07405853271,0.498836040496826,0.183960676193237,-0.843562424182892,0.0756540298461914,312.996566295624,746.603012084961,-1506.06822967529
54.215,40.5005799855473,326.7622590065,5544.07405853271,0.504939019680023,0.182176798582077,-0.839932501316071,0.079759769141674,319.830745458603,746.845483779907,-1509.97722148895
54.239,71.1993672290736,397.625923156738,5544.07405853271,0.516494691371918,0.180492088198662,-0.832625806331635,0.085965670645237,327.964603900909,747.832119464874,-1515.09726047516
54.263,93.6085826882927,412.297904491425,5544.07405853271,0.531776368618011,0.179053023457527,-0.822444796562195,0.0934797674417496,336.218446493149,749.254167079926,-1520.57468891144
54.287,100.593892284546,415.395230054855,5544.07405853271,0.548024117946625,0.177625238895416,-0.811074137687683,0.10137877613306,344.471603631973,750.774681568146,-1526.11744403839
54.311,101.269179427406,415.695428848267,5544.07405853271,0.564020931720734,0.17611625790596,-0.799332201480865,0.109231412410736,352.724760770798,752.295255661011,-1531.66019916534
54.335,98.8770559347712,415.247559547424,5544.07405853271,0.579478323459625,0.174597293138504,-0.78745698928833,0.116756819188595,360.96715927124,753.810882568359,-1537.20223903656
54.36,92.0541682369812,415.720522403717,5544.07405853271,0.593856513500214,0.173256754875183,-0.776023387908936,0.122899584472179,369.186729192734,755.264639854431,-1542.81198978424
54.384,86.4267822099968,415.847390890121,5544.07405853271,0.60517281293869,0.17229937016964,-0.76683783531189,0.126643195748329,375.990122556686,756.380200386047,-1547.58203029633
54.408,71.2287370425047,366.140514612198,5544.07405853271,0.616780996322632,0.171476557850838,-0.75734156370163,0.12888278067112,383.189022541046,757.42119550705,-1552.83808708191
54.432,52.0682805714347,279.96900677681,6660.74657440186,0.625062704086304,0.171167224645615,-0.75078284740448,0.127763524651527,388.330459594727,757.903218269348,-1556.97500705719
54.456,31.5010578483414,157.975628972054,6660.74657440186,0.629706144332886,0.17132157087326,-0.747452318668365,0.124234080314636,391.187191009521,757.892072200775,-1559.68844890594
54.481,14.1469208891358,54.9047328531742,6660.74657440186,0.630806863307953,0.171525985002518,-0.746854484081268,0.121942199766636,391.873121261597,757.753968238831,-1560.53948402405
54.505,15.4282464481837,39.359912276268,6660.74657440186,0.63144189119339,0.171847194433212,-0.746735036373138,0.118896916508675,392.311751842499,757.52204656601,-1561.29550933838
